District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
Katihar,668232,414304,33412,84866,69838,29542,4959,47840
Madhepura,486278,311218,30150,54950,24000,11016,2088,12312
Saharsa,432651,278195,28555,54082,38046,16398,2816,25720
Darbhanga,907174,478988,73482,189600,95539,38216,8599,64012
Muzaffarpur,998694,603212,83891,218714,120700,43694,8208,93060
Gopalganj,515925,273957,41274,93383,38133,15101,2327,19372
Siwan,632514,294752,51867,127768,41858,14400,2554,29887
Saran,701323,360481,61016,124836,76299,31665,6028,45017
Vaishali,699317,397912,86016,174830,51494,22967,5459,31927
Samastipur,1012979,599684,98259,172207,43486,16786,2827,30528
Begusarai,594377,339390,68948,151567,139248,60573,13647,80347
Khagaria,373696,219734,33259,81093,21007,9937,1513,13928
Bhagalpur,522527,307246,45983,131155,130634,55912,10059,93665
Banka,425604,257491,28942,47243,18492,8673,944,8285
Munger,222281,130257,17561,58016,85782,33627,5748,63651
Lakhisarai,175882,103595,13543,47137,31763,16613,2669,19567
Sheikhpura,108293,64976,10180,26316,24345,10883,1802,12709
Nalanda,514141,306429,48844,117225,102522,42855,7280,75457
Patna,657991,384267,59878,181606,552103,171152,28710,477570
Bhojpur,434559,251176,37807,89085,77368,31799,6345,53075
Buxar,299252,169976,31422,59851,35405,14021,3116,23793
Kaimur (Bhabua),325143,196062,21135,47146,15299,5126,704,10740
Rohtas,512383,295645,32793,108113,95678,39994,5646,65444
Aurangabad,428291,247553,28268,73667,49006,20142,2647,33325
Gaya,696289,437270,55007,114888,111282,40062,5231,86578
Nawada,379551,236461,39094,65663,45323,17994,2901,31409
Jamui,325909,209234,26073,38784,30851,15087,2623,15087
Jehanabad,186660,114236,16987,41626,28132,11028,1942,19046
Arwal,134334,83153,10479,30226,9960,5150,608,3885
North  District,11543,5229,428,8658,2066,420,38,2011
West District,32091,16559,2536,26989,1886,291,125,1685
South District,31135,14105,1837,26434,8163,1249,74,7992
East District,40626,16901,3047,34858,41512,7639,706,39395
Tawang,10730,5033,440,7447,2452,613,15,2391
West Kameng,17889,8641,448,6959,0,0,0,0
East Kameng,14503,8441,378,3191,5215,2467,131,3338
Papum Pare,20308,8997,813,11129,30180,9477,1057,27676
Upper Subansiri,14542,9147,364,5003,4672,1799,57,3976
West Siang,22272,9177,179,15836,8503,2551,179,8129
East Siang,19497,5460,293,9242,9524,5372,410,8639
Upper Siang,8569,2503,35,4825,2182,1037,25,1750
Changlang,33422,16645,569,21825,6498,2489,52,5933
Tirap,18420,7976,185,15768,6500,3068,98,5974
Lower Subansiri,18112,7282,272,12335,5365,1315,38,5285
Kurung Kumey,18603,8316,2326,4372,1092,543,56,881
Dibang Valley,2055,1022,148,1330,1175,574,66,966
Lower Dibang Valley,12000,6324,384,5760,3950,1276,147,3500
Lohit,33599,18178,2016,16632,11372,5311,410,10144
Anjaw,6025,3182,362,1669,428,293,0,275
Mon,43607,27909,611,27342,7415,3612,416,6985
Mokokchung,37536,12800,188,36148,17742,5855,125,17476
Zunheboto,31267,13821,532,22419,6044,2182,13,5706
Wokha,38499,19866,385,22907,8170,1773,17,7901
Dimapur,49116,21955,1572,44991,62853,21748,1320,60842
Phek,38903,21164,934,29333,7295,2838,30,6829
Tuensang,40690,22380,1384,20264,9451,5095,293,8393
Longleng,12686,8386,280,8754,2451,1562,138,1856
Kiphire,16032,9171,161,5868,4290,1193,18,4089
Kohima,31845,10700,192,16624,44255,14118,841,40715
Peren,20204,10709,182,15578,4073,2489,86,3784
Senapati,38008,22691,837,27556,1826,1158,33,1783
Tamenglong,23982,13574,2015,15925,4119,2254,429,3984
Churachandpur,52972,28393,1219,43596,4853,2548,112,4795
Bishnupur,34977,12138,2064,31865,21172,6373,869,19987
Thoubal,65961,22097,3628,60487,38302,10265,1992,36043
Imphal West,51055,16900,2706,46971,85746,26153,3773,82917
Imphal East,64421,23450,2964,58559,46520,14654,1489,44427
Ukhrul,36084,25404,1877,29012,5806,3275,244,5580
Chandel,30377,17741,1246,23421,3783,1540,591,3666
Mamit,16726,8313,987,13900,4129,884,42,4076
Kolasib,9669,4555,213,9254,12507,4816,301,12082
Aizawl,20570,7118,350,20036,80341,13337,563,79779
Champhai,18395,8867,883,17457,12717,5647,191,12387
Serchhip,7472,3886,464,7204,8018,3737,770,7970
Lunglei,21479,10697,838,17291,17315,4641,139,16831
Lawngtlai,21993,10931,1144,13306,5273,1825,85,5184
Saiha,7043,2282,367,6128,5784,1661,134,5646
West Tripura,289621,119904,11585,246758,217016,69880,7813,212893
South Tripura,219171,94025,9863,181036,44906,12305,1617,44008
Dhalai,89457,42493,6441,59400,14071,5629,1267,13565
North Tripura,150437,72812,12487,122607,42184,14512,2996,40919
West Garo Hills,139351,68282,7665,78455,18594,6341,1172,17460
East Garo Hills,62698,30660,2258,49720,11518,4873,139,11138
South Garo Hills,35930,18397,1438,22780,3713,1556,101,3246
West Khasi Hills,74832,41981,6885,30532,12299,5756,566,11131
Ribhoi,57988,31256,3422,37171,5736,1956,178,5243
East Khasi Hills,106248,56206,9882,47068,108843,25579,2286,105469
Jaintia Hills,76546,35518,6430,33375,7171,1004,151,6892
Kokrajhar,204896,112693,26637,51020,17115,4245,805,15421
Dhubri,460602,295707,81066,179635,60417,24046,7371,48395
Goalpara,228610,138081,28805,141967,39504,18330,3161,33579
Barpeta,447189,282624,84072,312138,52192,17641,3863,48435
Morigaon,232206,145129,34367,132822,25275,10818,2326,22824
Nagaon,674999,400275,93150,486000,124186,54270,7327,118226
Sonitpur,483325,280812,49300,265829,64528,20779,2904,61302
Lakhimpur,293239,190019,28445,157470,34694,13080,1909,32856
Dhemaji,211758,140184,21176,85339,16504,7972,1189,15778
Tinsukia,290704,162795,14536,224715,90910,33728,4546,85910
Dibrugarh,299852,162520,17092,222491,77163,22918,3164,74386
Sivasagar,360182,217190,21972,258971,45047,16398,1757,41984
Jorhat,286330,174375,23193,168649,80824,28531,3233,76137
Golaghat,292893,187452,23139,190674,34190,13232,1436,33404
Karbi Anglong,215691,140415,9275,104611,37185,19337,1339,35140
Dima Hasao,37610,23469,1693,21476,21309,9632,704,20585
Cachar,346227,197004,42240,268673,88933,33084,5425,85198
Karimganj,261945,150881,39030,219248,32695,11803,2845,31845
Hailakandi,159215,94733,26749,130398,16202,4942,1232,15895
Bongaigaon,181923,116977,22741,89507,38470,11157,1655,35239
Chirang,129018,74186,14063,30965,11613,4588,1719,9860
Kamrup,390596,230843,48044,222640,43849,19776,3728,34510
Kamrup Metropolitan,61334,32140,6195,39684,366858,100153,14308,355853
Nalbari,210706,128531,20018,134220,28238,12228,2401,25443
Baksa,291641,187526,32664,112866,3580,1905,269,3369
Darrang,268517,154666,47797,127815,20189,6946,1737,18534
Udalguri,267790,160407,28654,111133,13835,4884,997,12424
Darjiling,303284,164380,24263,158618,215675,68369,11431,187638
Jalpaiguri,798378,461463,127741,296199,319426,118827,33540,262888
Koch Bihar,803407,463566,101230,447498,97331,32996,7690,87890
Uttar Dinajpur,683981,396025,84814,140901,94269,37708,13764,75981
Dakshin Dinajpur,390949,225187,46523,107511,70077,24037,6518,64191
Maldah,830318,489888,93826,210901,128678,62409,10681,95608
Murshidabad,1501066,842099,255182,520870,350899,170187,40705,216856
Birbhum,831044,432143,129643,155406,134565,50193,12515,82893
Barddhaman,1364868,707002,128298,629205,862368,329425,54330,616594
Nadia,1081381,582865,168696,771025,468390,192977,49650,437008
North Twenty Four Parganas,1209337,559924,238240,954167,1649803,551035,89090,1550815
Hugli,992085,451399,116074,596244,647953,218361,34342,575383
Bankura,900515,471870,105361,148585,90885,35264,8089,54895
Puruliya,653219,409569,48339,39847,99433,43254,6663,50612
Haora,483384,195288,67191,290998,869313,305999,56506,725877
Kolkata,0,0,0,0,1308106,404205,35319,1241393
South Twenty Four Parganas,1568802,782833,254146,862842,611430,235401,49526,508099
Paschim Medinipur,1364335,712183,180093,571657,201048,65944,16687,155210
Purba Medinipur,1193006,584573,215935,1021214,170707,59407,17242,141346
Garhwa,272872,170273,12553,13371,19180,8536,1305,8881
Chatra,200974,115561,9044,13265,14528,6741,596,9545
Kodarma,116714,61042,4902,8871,34771,15543,1878,17490
Giridih,452564,242575,14030,26249,46886,17348,1595,28742
Deoghar,257373,155969,13127,14156,64337,24063,2703,43943
Godda,276454,173337,25434,21840,15576,5732,655,10109
Sahibganj,223450,145466,16312,20558,37543,17458,2929,20386
Pakur,200588,120153,14242,14643,16587,7747,946,7713
Dhanbad,258764,135075,12162,31570,405455,180428,15813,240435
Bokaro,250312,125907,10263,16521,258452,94852,8271,162050
Lohardaga,96759,60475,2710,7064,14725,5331,648,10382
Purbi Singhbhum,262537,133894,15228,35706,342126,88269,7869,276096
Palamu,355529,223273,22399,26310,52375,21003,2829,30535
Latehar,146377,84899,3221,10540,14137,5740,707,7889
Hazaribagh,312983,151797,10329,29108,68765,22762,2063,50543
Ramgarh,134067,67168,5095,14748,118558,47187,4269,71135
Dumka,303697,194063,18222,18830,23281,7800,1165,14947
Jamtara,165555,103638,8113,7285,20113,6738,664,12088
Ranchi,420740,231407,12623,55538,310242,98657,12720,245402
Khunti,67860,39156,2308,2715,67860,25923,2036,36577
Gumla,216629,137127,6283,13865,16445,6315,823,11265
Simdega,144169,85925,4181,7065,11114,4446,445,5935
Pashchimi Singhbhum,336928,171497,13478,12467,63396,23774,2853,37341
Saraikela-Kharsawan,217248,116228,7821,13904,68439,25049,2327,44144
Bargarh,411566,275338,34984,50623,47395,22134,2228,25689
Jharsuguda,103224,73806,6091,9704,73962,33653,4142,39644
Sambalpur,220697,153826,17215,18980,94798,39057,4930,56405
Debagarh,91408,68556,12249,5394,7350,4580,405,3771
Sundargarh,387911,294425,22499,32585,230151,107941,10127,150749
Kendujhar,490634,343444,42195,45629,83664,40829,6443,42502
Mayurbhanj,689110,499605,59264,103367,64479,28242,5223,41267
Baleshwar,601154,373317,69734,136462,82440,34790,5936,56060
Bhadrak,373862,240394,33274,59818,54244,28587,4015,28099
Kendrapara,414749,236407,31107,65531,23494,10479,2068,13580
Jagatsinghapur,309685,177450,21988,68441,43047,24623,1593,19286
Cuttack,579529,318741,58533,129815,210768,77142,13490,164400
Jajapur,495611,286464,72360,98627,45528,19532,3187,27864
Dhenkanal,315390,206581,36270,44786,36979,15458,2811,22114
Anugul,340410,219225,40850,56849,74177,28781,4896,47474
Nayagarh,261646,168239,31921,41602,26688,12944,2029,14892
Khordha,331834,207065,28206,60726,356895,130624,18202,273382
Puri,402014,257691,45026,62715,72210,33506,4189,52930
Ganjam,795476,490014,75571,151936,219918,87748,11436,143607
Gajapati,152095,101904,8974,19317,23050,9382,1153,13070
Kandhamal,218446,150291,14418,13763,24489,11388,1568,13837
Baudh,131377,98665,6175,11824,6577,3690,356,3375
Subarnapur,176927,130926,12739,13978,16575,10178,962,6465
Balangir,476770,327065,33374,48154,62192,29169,4230,36134
Nuapada,197258,143802,9469,25052,11869,6255,772,5745
Kalahandi,456336,320805,42896,37420,38412,18361,2651,22587
Rayagada,237343,165429,13529,15665,49205,17616,2116,29770
Nabarangapur,342840,237589,15085,19885,29424,15124,1442,15713
Koraput,381789,250836,20235,31307,78339,30474,4387,50843
Malkangiri,167884,112986,12424,10074,15839,7239,1331,7556
Koriya,121852,61536,2681,10358,59763,22412,777,35440
Surguja,0,0,0,0,65167,19160,1043,39948
Jashpur,0,0,0,0,20722,7833,249,8745
Raigarh,354278,203356,17006,46057,66638,25190,2000,38184
Korba,206598,112390,6612,24586,126055,37439,2017,73869
Janjgir - Champa,379583,223954,21257,41755,61190,26802,2326,27169
Bilaspur,549632,324833,28581,91239,188174,67931,5834,123631
Kabeerdham,187311,114073,11614,16858,23868,8760,1218,11815
Rajnandgaon,313604,149590,10663,58017,76528,25102,1914,40713
Durg,533448,279527,26673,74683,349741,103524,7695,218938
Raipur,673499,383895,39737,86882,395001,118896,11456,256751
Mahasamund,274793,164876,12641,41769,35774,14739,1467,17923
Dhamtari,168689,92948,7085,40823,41792,16383,1463,22401
Uttar Bastar Kanker,169191,78674,5076,25041,24878,9404,797,15151
Bastar,316425,165174,10759,43984,54894,19433,1592,33486
Narayanpur,26916,15504,1185,1104,6179,3417,136,2732
Dakshin Bastar Dantewada,106545,53380,3410,7672,31304,11051,908,15590
Bijapur,50449,28504,2119,1363,7942,4861,247,2232
Sheopur,150146,90689,7958,8709,26376,10709,845,15088
Morena,319298,170825,16604,21393,95288,34018,2002,70323
Bhind,271211,139945,12476,25223,88385,35973,2210,59484
Gwalior,172720,83079,7773,29881,272172,73215,5444,236790
Datia,160453,74932,4333,18132,43401,15104,1303,27387
Shivpuri,367859,199748,15451,20601,66759,21030,1870,43861
Tikamgarh,322772,144280,9361,12589,60220,19813,1626,27220
Chhatarpur,375869,169893,9773,19546,95048,27659,1521,55033
Panna,256744,121954,7703,12838,32179,11585,741,17313
Sagar,448408,231379,21076,50222,165507,53128,4138,107084
Damoh,303387,164133,15170,17900,66514,22682,1929,37381
Satna,461831,181038,10161,105298,114173,26717,2626,69075
Rewa,523910,181797,11003,93256,94489,20599,2268,56221
Umaria,138100,65184,5801,8010,29966,8481,630,16542
Neemuch,174235,80671,4879,23000,67962,18758,952,43224
Mandsaur,302287,150237,6953,40205,81832,24141,1392,55810
Ratlam,266716,153896,9336,35740,107151,29467,1501,88722
Ujjain,300765,165120,11430,53837,188684,56794,3585,157740
Shajapur,312611,177251,13755,41890,73997,23754,1776,49356
Dewas,274995,134748,17050,59674,101014,30810,2627,78084
Dhar,412348,232977,19381,79171,103364,31733,3101,78971
Indore,200371,82954,9218,83154,587947,136992,15875,530917
Khargone (West Nimar),383543,218236,24164,49861,76620,22603,2452,56546
Barwani,250358,150716,13019,25787,48912,18294,2006,32331
Rajgarh,331894,200464,21574,25888,69823,24927,2235,42593
Vidisha,292579,132246,8778,33647,83830,25652,1761,59939
Bhopal,118893,55405,5113,25562,581826,175130,15128,488153
Sehore,270427,117907,17849,58683,59220,18536,1481,46844
Raisen,251272,116591,18092,46486,74441,27097,2978,53598
Betul,318945,145439,15310,41144,87704,26575,2632,62797
Harda,112714,47566,8679,43170,31845,8439,1402,25254
Hoshangabad,209650,92037,21385,70862,105746,30350,3596,85232
Katni,276151,128411,12151,23749,72880,20844,1750,47956
Jabalpur,272284,125796,15521,72973,352477,103629,10222,282687
Narsimhapur,230659,112793,22605,63432,53059,17881,3131,38097
Dindori,218021,111627,5887,8067,9774,3685,538,5406
Mandla,279674,120820,12026,18739,37258,10656,1491,24255
Chhindwara,413142,207811,21071,50817,140802,47169,5210,93352
