,District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
604,Pashchim Champaran,Urban,100,51.9,7.4,53.9
605,Purba Champaran,Rural,100,56.0,5.6,15.5
606,Purba Champaran,Total,100,55.1,5.6,18.2
607,Purba Champaran,Urban,100,42.9,5.7,54.0
608,Sheohar,Rural,100,59.6,3.4,19.8
609,Sheohar,Total,100,59.0,3.6,20.4
610,Sheohar,Urban,100,45.0,8.0,36.9
611,Sitamarhi,Rural,100,58.7,6.2,18.7
612,Sitamarhi,Total,100,57.9,6.2,20.8
613,Sitamarhi,Urban,100,41.8,6.5,60.5
614,Madhubani,Rural,100,50.8,4.7,17.3
615,Madhubani,Total,100,50.5,4.8,18.5
616,Madhubani,Urban,100,42.7,7.1,55.5
617,Supaul,Rural,100,62.1,4.9,9.1
618,Supaul,Total,100,61.7,5.0,10.8
619,Supaul,Urban,100,51.8,7.8,46.8
620,Araria,Rural,100,64.4,3.7,6.7
621,Araria,Total,100,63.5,3.8,9.4
622,Araria,Urban,100,48.5,6.4,54.3
623,Kishanganj,Rural,100,62.2,3.5,6.2
624,Kishanganj,Total,100,60.8,3.9,10.4
625,Kishanganj,Urban,100,46.4,7.9,51.9
626,Purnia,Rural,100,65.1,5.1,8.6
627,Purnia,Total,100,63.2,5.5,13.7
628,Purnia,Urban,100,46.1,9.7,59.1
629,Katihar,Rural,100,62.0,5.0,12.7
630,Katihar,Total,100,60.3,5.1,17.5
631,Katihar,Urban,100,42.3,7.1,68.5
632,Madhepura,Rural,100,64.0,6.2,11.3
633,Madhepura,Total,100,63.2,6.3,13.1
634,Madhepura,Urban,100,45.9,8.7,51.3
635,Saharsa,Rural,100,64.3,6.6,12.5
636,Saharsa,Total,100,62.7,6.7,16.7
637,Saharsa,Urban,100,43.1,7.4,67.6
638,Darbhanga,Rural,100,52.8,8.1,20.9
639,Darbhanga,Total,100,51.6,8.2,25.1
640,Darbhanga,Urban,100,40.0,9.0,67.0
641,Muzaffarpur,Rural,100,60.4,8.4,21.9
642,Muzaffarpur,Total,100,58.1,8.3,27.1
643,Muzaffarpur,Urban,100,36.2,6.8,77.1
644,Gopalganj,Rural,100,53.1,8.0,18.1
645,Gopalganj,Total,100,52.3,7.9,20.0
646,Gopalganj,Urban,100,39.6,6.1,50.8
647,Siwan,Rural,100,46.6,8.2,20.2
648,Siwan,Total,100,46.0,8.1,22.9
649,Siwan,Urban,100,34.4,6.1,71.4
650,Saran,Rural,100,51.4,8.7,17.8
651,Saran,Total,100,50.6,8.6,21.4
652,Saran,Urban,100,41.5,7.9,59.0
653,Vaishali,Rural,100,56.9,12.3,25.0
654,Vaishali,Total,100,56.1,12.2,27.2
655,Vaishali,Urban,100,44.6,10.6,62.0
656,Samastipur,Rural,100,59.2,9.7,17.0
657,Samastipur,Total,100,58.5,9.6,18.8
658,Samastipur,Urban,100,38.6,6.5,70.2
659,Begusarai,Rural,100,57.1,11.6,25.5
660,Begusarai,Total,100,54.6,11.3,31.3
661,Begusarai,Urban,100,43.5,9.8,57.7
662,Khagaria,Rural,100,58.8,8.9,21.7
663,Khagaria,Total,100,58.3,8.9,23.8
664,Khagaria,Urban,100,47.3,7.2,66.3
665,Bhagalpur,Rural,100,58.8,8.8,25.1
666,Bhagalpur,Total,100,55.9,8.6,33.7
667,Bhagalpur,Urban,100,42.8,7.7,71.7
668,Banka,Rural,100,60.5,6.8,11.1
669,Banka,Total,100,60.1,6.7,12.3
670,Banka,Urban,100,46.9,5.1,44.8
671,Munger,Rural,100,58.6,7.9,26.1
672,Munger,Total,100,53.5,7.6,38.8
673,Munger,Urban,100,39.2,6.7,74.2
674,Lakhisarai,Rural,100,58.9,7.7,26.8
675,Lakhisarai,Total,100,57.9,7.8,31.8
676,Lakhisarai,Urban,100,52.3,8.4,61.6
677,Sheikhpura,Rural,100,60.0,9.4,24.3
678,Sheikhpura,Total,100,57.5,9.1,28.9
679,Sheikhpura,Urban,100,44.7,7.4,52.2
680,Nalanda,Rural,100,59.6,9.5,22.8
681,Nalanda,Total,100,56.8,9.2,30.7
682,Nalanda,Urban,100,41.8,7.1,73.6
683,Patna,Rural,100,58.4,9.1,27.6
684,Patna,Total,100,46.6,7.4,53.0
685,Patna,Urban,100,31.0,5.2,86.5
686,Bhojpur,Rural,100,57.8,8.7,20.5
687,Bhojpur,Total,100,55.5,8.6,27.2
688,Bhojpur,Urban,100,41.1,8.2,68.6
689,Buxar,Rural,100,56.8,10.5,20.0
690,Buxar,Total,100,55.1,10.3,24.7
691,Buxar,Urban,100,39.6,8.8,67.2
692,Kaimur (Bhabua),Rural,100,60.3,6.5,14.5
693,Kaimur (Bhabua),Total,100,59.2,6.4,16.7
694,Kaimur (Bhabua),Urban,100,33.5,4.6,70.2
695,Rohtas,Rural,100,57.7,6.4,21.1
696,Rohtas,Total,100,55.3,6.3,28.2
697,Rohtas,Urban,100,41.8,5.9,68.4
698,Aurangabad,Rural,100,57.8,6.6,17.2
699,Aurangabad,Total,100,56.3,6.5,21.8
700,Aurangabad,Urban,100,41.1,5.4,68.0
701,Gaya,Rural,100,62.8,7.9,16.5
702,Gaya,Total,100,59.4,7.5,24.2
703,Gaya,Urban,100,36.0,4.7,77.8
704,Nawada,Rural,100,62.3,10.3,17.3
705,Nawada,Total,100,60.2,9.9,22.3
706,Nawada,Urban,100,39.7,6.4,69.3
707,Jamui,Rural,100,64.2,8.0,11.9
708,Jamui,Total,100,63.0,8.0,14.8
709,Jamui,Urban,100,48.9,8.5,48.9
710,Jehanabad,Rural,100,61.2,9.1,22.3
711,Jehanabad,Total,100,58.5,8.8,27.8
712,Jehanabad,Urban,100,39.2,6.9,67.7
713,Arwal,Rural,100,61.9,7.8,22.5
714,Arwal,Total,100,61.2,7.7,23.7
715,Arwal,Urban,100,51.7,6.1,39.0
716,North  District,Rural,100,45.3,3.7,75.0
717,North  District,Total,100,42.7,3.5,77.4
718,North  District,Urban,100,20.3,1.8,97.3
719,West District,Rural,100,51.6,7.9,84.1
720,West District,Total,100,50.2,7.8,84.3
721,West District,Urban,100,15.4,6.6,89.3
722,South District,Rural,100,45.3,5.9,84.9
723,South District,Total,100,40.5,5.1,86.9
724,South District,Urban,100,15.3,0.9,97.9
725,East District,Rural,100,41.6,7.5,85.8
726,East District,Total,100,30.6,4.8,90.1
727,East District,Urban,100,18.4,1.7,94.9
728,Tawang,Rural,100,46.9,4.1,69.4
729,Tawang,Total,100,43.2,3.5,74.1
730,Tawang,Urban,100,25.0,0.6,97.5
731,West Kameng,Rural,100,48.3,2.5,38.9
732,West Kameng,Total,100,46.8,2.6,50.3
733,West Kameng,Urban,100,41.7,3.0,87.4
734,East Kameng,Rural,100,58.2,2.6,22.0
735,East Kameng,Total,100,55.6,2.5,32.2
736,East Kameng,Urban,100,47.3,2.5,64.0
737,Papum Pare,Rural,100,44.3,4.0,54.8
738,Papum Pare,Total,100,36.6,3.7,76.8
739,Papum Pare,Urban,100,31.4,3.5,91.7
