country,indicator,date,year_week,value,source,url
Austria,Daily hospital occupancy,04-11-2020,2020-W45,2201,Country_Website,
Austria,Daily hospital occupancy,05-11-2020,2020-W45,2330,Country_Website,
Austria,Daily hospital occupancy,06-11-2020,2020-W45,2504,Country_Website,
Austria,Daily hospital occupancy,07-11-2020,2020-W45,2574,Country_Website,
Austria,Daily hospital occupancy,08-11-2020,2020-W45,2533,Country_Website,
Austria,Daily hospital occupancy,09-11-2020,2020-W46,2755,Country_Website,
Austria,Daily hospital occupancy,10-11-2020,2020-W46,3054,Country_Website,
Austria,Daily hospital occupancy,11-11-2020,2020-W46,3183,Country_Website,
Austria,Daily hospital occupancy,12-11-2020,2020-W46,3265,Country_Website,
Austria,Daily hospital occupancy,13-11-2020,2020-W46,3355,Country_Website,
Austria,Daily hospital occupancy,14-11-2020,2020-W46,3425,Country_Website,
Austria,Daily hospital occupancy,15-11-2020,2020-W46,3579,Country_Website,
Austria,Daily hospital occupancy,16-11-2020,2020-W47,3685,Country_Website,
Austria,Daily hospital occupancy,17-11-2020,2020-W47,3867,Country_Website,
Austria,Daily hospital occupancy,18-11-2020,2020-W47,3910,Country_Website,
Austria,Daily hospital occupancy,19-11-2020,2020-W47,3931,Country_Website,
Austria,Daily hospital occupancy,20-11-2020,2020-W47,3942,Country_Website,
Austria,Daily hospital occupancy,21-11-2020,2020-W47,3900,Country_Website,
Austria,Daily hospital occupancy,22-11-2020,2020-W47,3775,Country_Website,
Austria,Daily hospital occupancy,23-11-2020,2020-W48,3863,Country_Website,
Austria,Daily hospital occupancy,24-11-2020,2020-W48,3985,Country_Website,
Austria,Daily hospital occupancy,25-11-2020,2020-W48,3867,Country_Website,
Austria,Daily hospital occupancy,26-11-2020,2020-W48,3756,Country_Website,
Austria,Daily hospital occupancy,27-11-2020,2020-W48,3702,Country_Website,
Austria,Daily hospital occupancy,28-11-2020,2020-W48,3591,Country_Website,
Austria,Daily hospital occupancy,29-11-2020,2020-W48,3560,Country_Website,
Austria,Daily hospital occupancy,30-11-2020,2020-W49,3639,Country_Website,
Austria,Daily hospital occupancy,01-12-2020,2020-W49,3791,Country_Website,
Austria,Daily hospital occupancy,02-12-2020,2020-W49,3571,Country_Website,
Austria,Daily hospital occupancy,03-12-2020,2020-W49,3414,Country_Website,
Austria,Daily hospital occupancy,04-12-2020,2020-W49,3338,Country_Website,
Austria,Daily hospital occupancy,05-12-2020,2020-W49,3231,Country_Website,
Austria,Daily hospital occupancy,06-12-2020,2020-W49,3170,Country_Website,
Austria,Daily hospital occupancy,07-12-2020,2020-W50,3269,Country_Website,
Austria,Daily hospital occupancy,08-12-2020,2020-W50,3308,Country_Website,
Austria,Daily hospital occupancy,09-12-2020,2020-W50,3244,Country_Website,
Austria,Daily hospital occupancy,10-12-2020,2020-W50,3195,Country_Website,
Austria,Daily hospital occupancy,11-12-2020,2020-W50,3079,Country_Website,
Austria,Daily hospital occupancy,12-12-2020,2020-W50,3008,Country_Website,
Austria,Daily hospital occupancy,13-12-2020,2020-W50,2867,Country_Website,
Austria,Daily hospital occupancy,14-12-2020,2020-W51,2885,Country_Website,
Austria,Daily hospital occupancy,15-12-2020,2020-W51,2951,Country_Website,
Austria,Daily hospital occupancy,16-12-2020,2020-W51,2862,Country_Website,
Austria,Daily hospital occupancy,17-12-2020,2020-W51,2690,Country_Website,
Austria,Daily hospital occupancy,18-12-2020,2020-W51,2578,Country_Website,
Austria,Daily hospital occupancy,19-12-2020,2020-W51,2475,Country_Website,
Austria,Daily hospital occupancy,20-12-2020,2020-W51,2412,Country_Website,
Austria,Daily hospital occupancy,21-12-2020,2020-W52,2393,Country_Website,
Austria,Daily hospital occupancy,22-12-2020,2020-W52,2435,Country_Website,
Austria,Daily hospital occupancy,23-12-2020,2020-W52,2303,Country_Website,
Austria,Daily hospital occupancy,24-12-2020,2020-W52,2203,Country_Website,
Austria,Daily hospital occupancy,25-12-2020,2020-W52,2045,Country_Website,
Austria,Daily hospital occupancy,26-12-2020,2020-W52,2024,Country_Website,
Austria,Daily hospital occupancy,27-12-2020,2020-W52,2043,Country_Website,
Austria,Daily hospital occupancy,28-12-2020,2020-W53,2089,Country_Website,
Austria,Daily hospital occupancy,29-12-2020,2020-W53,2116,Country_Website,
Austria,Daily hospital occupancy,30-12-2020,2020-W53,2012,Country_Website,
Austria,Daily hospital occupancy,31-12-2020,2020-W53,1946,Country_Website,
Austria,Daily hospital occupancy,01-01-2021,2020-W53,1858,Country_Website,
Austria,Daily hospital occupancy,02-01-2021,2020-W53,1858,Country_Website,
Austria,Daily hospital occupancy,03-01-2021,2020-W53,1864,Country_Website,
Austria,Daily hospital occupancy,04-01-2021,2021-W01,1953,Country_Website,
Austria,Daily hospital occupancy,05-01-2021,2021-W01,2033,Country_Website,
Austria,Daily hospital occupancy,06-01-2021,2021-W01,2022,Country_Website,
