,District name,Households,Rural_Households,Urban_Households
269,Kohima,76100.0,31845.0,44255.0
270,Peren,24277.0,20204.0,4073.0
271,Senapati,39834.0,38008.0,1826.0
272,Tamenglong,28101.0,23982.0,4119.0
273,Churachandpur,57825.0,52972.0,4853.0
274,Bishnupur,56149.0,34977.0,21172.0
275,Thoubal,104263.0,65961.0,38302.0
276,Imphal West,136801.0,51055.0,85746.0
277,Imphal East,110941.0,64421.0,46520.0
278,Ukhrul,41890.0,36084.0,5806.0
279,Chandel,34160.0,30377.0,3783.0
280,Mamit,20855.0,16726.0,4129.0
281,Kolasib,22176.0,9669.0,12507.0
282,Aizawl,100911.0,20570.0,80341.0
283,Champhai,31112.0,18395.0,12717.0
284,Serchhip,15490.0,7472.0,8018.0
285,Lunglei,38794.0,21479.0,17315.0
286,Lawngtlai,27266.0,21993.0,5273.0
287,Saiha,12827.0,7043.0,5784.0
288,West Tripura,506637.0,289621.0,217016.0
289,South Tripura,264077.0,219171.0,44906.0
290,Dhalai,103528.0,89457.0,14071.0
291,North Tripura,192621.0,150437.0,42184.0
292,West Garo Hills,157945.0,139351.0,18594.0
293,East Garo Hills,74216.0,62698.0,11518.0
294,South Garo Hills,39643.0,35930.0,3713.0
295,West Khasi Hills,87131.0,74832.0,12299.0
296,Ribhoi,63724.0,57988.0,5736.0
297,East Khasi Hills,215091.0,106248.0,108843.0
298,Jaintia Hills,83717.0,76546.0,7171.0
299,Kokrajhar,222011.0,204896.0,17115.0
300,Dhubri,521019.0,460602.0,60417.0
301,Goalpara,268114.0,228610.0,39504.0
302,Barpeta,499381.0,447189.0,52192.0
303,Morigaon,257481.0,232206.0,25275.0
304,Nagaon,799185.0,674999.0,124186.0
305,Sonitpur,547853.0,483325.0,64528.0
306,Lakhimpur,327933.0,293239.0,34694.0
307,Dhemaji,228262.0,211758.0,16504.0
308,Tinsukia,381614.0,290704.0,90910.0
309,Dibrugarh,377015.0,299852.0,77163.0
310,Sivasagar,405229.0,360182.0,45047.0
311,Jorhat,367154.0,286330.0,80824.0
312,Golaghat,327083.0,292893.0,34190.0
313,Karbi Anglong,252876.0,215691.0,37185.0
314,Dima Hasao,58919.0,37610.0,21309.0
315,Cachar,435160.0,346227.0,88933.0
316,Karimganj,294640.0,261945.0,32695.0
317,Hailakandi,175417.0,159215.0,16202.0
318,Bongaigaon,220393.0,181923.0,38470.0
319,Chirang,140631.0,129018.0,11613.0
320,Kamrup,434445.0,390596.0,43849.0
321,Kamrup Metropolitan,428192.0,61334.0,366858.0
322,Nalbari,238944.0,210706.0,28238.0
323,Baksa,295221.0,291641.0,3580.0
324,Darrang,288706.0,268517.0,20189.0
325,Udalguri,281625.0,267790.0,13835.0
326,Darjiling,518959.0,303284.0,215675.0
327,Jalpaiguri,1117804.0,798378.0,319426.0
328,Koch Bihar,900738.0,803407.0,97331.0
329,Uttar Dinajpur,778250.0,683981.0,94269.0
330,Dakshin Dinajpur,461026.0,390949.0,70077.0
331,Maldah,958996.0,830318.0,128678.0
332,Murshidabad,1851965.0,1501066.0,350899.0
333,Birbhum,965609.0,831044.0,134565.0
334,Barddhaman,2227236.0,1364868.0,862368.0
335,Nadia,1549771.0,1081381.0,468390.0
336,North Twenty Four Parganas,2859140.0,1209337.0,1649803.0
337,Hugli,1640038.0,992085.0,647953.0
338,Bankura,991400.0,900515.0,90885.0
339,Puruliya,752652.0,653219.0,99433.0
340,Haora,1352697.0,483384.0,869313.0
341,Kolkata,1308106.0,0.0,1308106.0
342,South Twenty Four Parganas,2180232.0,1568802.0,611430.0
343,Paschim Medinipur,1565383.0,1364335.0,201048.0
344,Purba Medinipur,1363713.0,1193006.0,170707.0
345,Garhwa,292052.0,272872.0,19180.0
346,Chatra,215502.0,200974.0,14528.0
347,Kodarma,151485.0,116714.0,34771.0
348,Giridih,499450.0,452564.0,46886.0
349,Deoghar,321710.0,257373.0,64337.0
350,Godda,292030.0,276454.0,15576.0
351,Sahibganj,260993.0,223450.0,37543.0
352,Pakur,217175.0,200588.0,16587.0
353,Dhanbad,664219.0,258764.0,405455.0
354,Bokaro,508764.0,250312.0,258452.0
355,Lohardaga,111484.0,96759.0,14725.0
356,Purbi Singhbhum,604663.0,262537.0,342126.0
357,Palamu,407904.0,355529.0,52375.0
358,Latehar,160514.0,146377.0,14137.0
359,Hazaribagh,381748.0,312983.0,68765.0
360,Ramgarh,252625.0,134067.0,118558.0
361,Dumka,326978.0,303697.0,23281.0
362,Jamtara,185668.0,165555.0,20113.0
363,Ranchi,730982.0,420740.0,310242.0
364,Khunti,135719.0,,
365,Gumla,233074.0,216629.0,16445.0
366,Simdega,155283.0,144169.0,11114.0
367,Pashchimi Singhbhum,400324.0,336928.0,63396.0
368,Saraikela-Kharsawan,285687.0,217248.0,68439.0
369,Bargarh,458961.0,411566.0,47395.0
370,Jharsuguda,177186.0,103224.0,73962.0
371,Sambalpur,315495.0,220697.0,94798.0
372,Debagarh,98758.0,91408.0,7350.0
373,Sundargarh,618062.0,387911.0,230151.0
374,Kendujhar,574298.0,490634.0,83664.0
375,Mayurbhanj,753589.0,689110.0,64479.0
376,Baleshwar,683594.0,601154.0,82440.0
377,Bhadrak,428106.0,373862.0,54244.0
378,Kendrapara,438243.0,414749.0,23494.0
379,Jagatsinghapur,352732.0,309685.0,43047.0
