,District,Total_Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise,Households_Total_Livable,Households_Total_Dilapidated,Households_Total_Toilet_Premise
538,Khammam,870625.0,669262.0,201363.0,226880,45509,34802,4430,250304,171965,272506,39179,419642
539,Srikakulam,902436.0,752752.0,149684.0,241634,32033,26347,2545,96353,98642,274341,28878,191317
540,Vizianagaram,749514.0,592458.0,157056.0,183070,31412,19552,2985,63394,104286,215111,22486,164894
541,Visakhapatnam,1379340.0,718847.0,660493.0,213498,112284,23004,7266,153834,551512,325525,30346,707602
542,East Godavari,1605841.0,1199479.0,406362.0,364642,84930,46780,6909,563756,354755,451242,52993,913724
543,West Godavari,1255628.0,1007255.0,248373.0,302177,52407,48349,5465,593274,220307,355343,53993,811136
544,Krishna,1476334.0,909292.0,567042.0,280062,113976,40009,9640,511023,527350,394182,50196,1039340
545,Guntur,1582990.0,1069877.0,513113.0,331662,112372,44935,9750,497493,442817,444821,55405,937131
546,Prakasam,1087575.0,873486.0,214089.0,260299,45387,36687,4282,244577,165705,306697,40241,407841
547,Sri Potti Sriramulu Nellore,953513.0,689137.0,264376.0,192270,43887,29633,5024,175730,208329,237425,35280,377592
548,Y.S.R.,884093.0,590589.0,293504.0,129339,54592,15356,3229,167728,232162,183892,18566,396074
549,Kurnool,1090835.0,783853.0,306982.0,211641,64467,25868,4298,216344,223176,275982,30544,439607
550,Anantapur,1244428.0,902997.0,341431.0,195951,71360,26187,4439,198660,260171,267553,31111,457950
551,Chittoor,395900.0,0.0,395900.0,0,58198,0,4751,0,322659,79972,11877,148067
552,Belgaum,1318975.0,962777.0,356198.0,370670,90831,45251,6768,178114,257888,462961,51441,432624
553,Bagalkot,490657.0,324799.0,165858.0,139339,54568,16890,6137,23386,70490,194301,23061,92244
554,Bijapur,527490.0,396449.0,131041.0,165320,36299,26959,3801,19823,77970,202029,31122,95476
555,Bidar,389403.0,287134.0,102269.0,162805,30681,14357,3069,25268,69646,195481,17524,90342
556,Raichur,455848.0,330446.0,125402.0,142753,38750,23462,4515,33045,63203,181884,28263,94361
557,Koppal,337649.0,272968.0,64681.0,107550,17270,14195,2394,32757,31306,125606,16545,62466
558,Gadag,291972.0,180066.0,111906.0,75268,39951,9184,3805,16567,47337,115621,13139,61899
559,Dharwad,483104.0,199707.0,283397.0,80682,82186,7789,5668,46133,232386,163290,13527,275370
560,Uttara Kannada,474792.0,334281.0,140511.0,160790,52411,21394,4497,169147,113252,213657,25639,281552
561,Haveri,413564.0,315076.0,98488.0,141470,29448,15754,2857,88852,68647,172043,18611,154260
562,Bellary,623480.0,371604.0,251876.0,148270,72541,20067,7557,44965,159942,221336,28057,202008
563,Chitradurga,447348.0,349704.0,97644.0,157367,30954,20633,1953,66794,72159,189229,22815,135547
564,Davanagere,530691.0,354680.0,176011.0,163508,54036,20572,4929,105695,142393,217584,25474,246241
565,Shimoga,554106.0,352444.0,201662.0,161420,64936,25729,6454,217811,176858,226630,32139,394524
566,Udupi,385389.0,269817.0,115572.0,93087,28893,11333,2428,225568,110950,122169,13875,336060
567,Chikmagalur,392426.0,311660.0,80766.0,141806,24634,17142,2343,168609,72205,165997,19229,241342
568,Tumkur,890242.0,685443.0,204799.0,280347,57139,39756,5120,125437,168960,339183,45403,289329
569,Bangalore,3267960.0,300576.0,2967384.0,86566,590510,7515,32642,224831,2872428,676468,39216,3098027
570,Mandya,562302.0,458867.0,103435.0,202820,31962,20650,3207,126189,88851,235605,24179,210864
571,Hassan,628981.0,496103.0,132878.0,241603,39465,30759,3190,132460,119458,281784,33965,250964
572,Dakshina Kannada,650292.0,332919.0,317373.0,135831,83470,12319,5078,293302,309757,219799,17558,602821
573,Kodagu,212974.0,181182.0,31792.0,72473,10619,8335,1018,142772,30839,83060,9371,173361
574,Mysore,920982.0,540596.0,380386.0,259487,108411,28652,8369,145961,358324,367472,36840,506541
575,Chamarajanagar,319880.0,262680.0,57200.0,124773,21393,18388,2574,40453,36780,146506,21113,75172
576,Gulbarga,600007.0,400704.0,199303.0,173906,57400,14827,2990,18032,135925,231603,18001,153002
577,Yadgir,262995.0,207787.0,55208.0,106387,18992,11429,1602,8935,22194,126238,13150,29456
578,Kolar,477609.0,326567.0,151042.0,133566,47730,16655,2417,83275,121136,181492,19105,204417
579,Chikkaballapura,409702.0,315649.0,94053.0,120894,26241,15467,1505,72600,79287,147493,17208,149542
580,Bangalore Rural,326462.0,231052.0,95410.0,84334,27765,8549,1622,174445,87110,112303,10121,260844
581,Ramanagara,351784.0,266950.0,84834.0,116124,29014,18153,2715,74746,75079,145287,21108,147398
582,North Goa,325089.0,115859.0,209230.0,26648,41010,2086,2302,79596,178474,68269,4552,255846
583,South Goa,251493.0,88620.0,162873.0,20738,39742,1773,2444,65402,138768,60610,4276,203710
584,Kasaragod,417805.0,251641.0,166164.0,80274,30741,19125,4487,223458,160515,111972,24233,383545
585,Kannur,872479.0,306288.0,566191.0,95256,109842,18990,11891,294956,557699,206778,31410,851540
586,Wayanad,277988.0,266183.0,11805.0,94229,4722,23957,650,244090,11251,98686,24741,255193
587,Kozhikode,990336.0,323793.0,666543.0,87748,128643,21371,23996,314080,654546,216884,45556,968549
588,Malappuram,1157129.0,634543.0,522586.0,175134,111311,26651,13065,612334,514748,286968,39343,1127044
589,Palakkad,894341.0,665899.0,228442.0,235729,64193,35959,7539,587323,216792,300499,43823,803119
590,Thrissur,1051867.0,336748.0,715119.0,118536,203809,17175,29320,326309,702962,322924,46283,1028726
591,Ernakulam,1174691.0,369694.0,804997.0,109430,179515,18485,24955,358234,791313,288974,43464,1150023
592,Idukki,412433.0,391610.0,20823.0,172701,4894,32504,292,347359,20678,178172,32995,367478
593,Kottayam,678161.0,481967.0,196194.0,168689,51992,22171,5102,462689,192663,220403,27805,655104
594,Alappuzha,723536.0,331419.0,392117.0,99095,104696,25520,25488,301260,371335,204038,50648,672165
595,Pathanamthitta,472840.0,414992.0,57848.0,125328,13710,20335,1620,388848,55535,139488,22224,443997
596,Kollam,925130.0,523715.0,401415.0,156591,97946,39279,22078,487055,386965,254411,61059,874248
597,Thiruvananthapuram,1169117.0,559293.0,609824.0,191279,157945,57048,37200,513991,587261,348397,93530,1101309
598,Thiruvallur,1119433.0,387237.0,732196.0,125465,132528,12779,7322,109589,650191,258590,20150,760096
599,Chennai,1314125.0,0.0,1314125.0,,228658,,11828,,1256304,228658,11828,1256304
600,Kancheepuram,1213504.0,438799.0,774705.0,139100,136349,10093,6198,128569,663148,274252,15776,794846
601,Vellore,1140300.0,653499.0,486801.0,181673,102229,15031,7303,125472,346603,283935,22806,468664
602,Tiruvannamalai,710163.0,563102.0,147061.0,163300,27501,12952,1912,70388,95737,191745,14914,161918
603,Viluppuram,967314.0,808042.0,159272.0,290896,37907,16161,2390,106662,104483,330822,18379,204104
604,Salem,1170352.0,572813.0,597539.0,184446,145800,13175,7769,83631,328049,331210,21067,409624
605,Namakkal,627484.0,370357.0,257127.0,94071,62482,6667,3086,115552,140392,156244,10040,255386
606,Erode,843684.0,411286.0,432398.0,117628,102911,8226,4757,138604,275870,221046,12656,413406
607,The Nilgiris,264105.0,112126.0,151979.0,38796,55321,2355,2888,47430,89516,94022,5283,137071
608,Dindigul,713542.0,443818.0,269724.0,139803,69859,7989,3777,83882,154822,209782,11417,237610
609,Karur,364661.0,212241.0,152420.0,61550,30637,4670,1372,48816,102274,92260,5835,150241
610,Tiruchirappalli,875727.0,452707.0,423020.0,134907,90527,10865,5077,108650,313881,225062,15764,424728
611,Perambalur,188592.0,155413.0,33179.0,46935,5608,3420,299,24245,18315,52806,3772,41868
612,Ariyalur,254277.0,223955.0,30322.0,84879,8400,7615,607,31802,15556,93574,8137,46025
613,Cuddalore,758209.0,497429.0,260780.0,193500,68846,11939,3912,98989,178896,263857,15923,273714
614,Nagapattinam,517740.0,399016.0,118724.0,178361,36805,12769,2850,124493,82751,215898,15533,204508
615,Thiruvarur,408179.0,321331.0,86848.0,143957,24231,13175,1477,101220,63226,168987,15103,162048
616,Thanjavur,753372.0,479070.0,274302.0,206480,78725,21559,5487,137973,205178,286282,27122,339771
617,Pudukkottai,503941.0,399712.0,104229.0,157887,26162,16788,1668,70750,72231,184443,18646,141104
618,Sivaganga,452417.0,309224.0,143193.0,98025,31503,9277,2005,73905,112407,130297,11311,184134
619,Madurai,1010441.0,417718.0,592723.0,134088,102542,8773,4742,86468,502630,234423,13136,598182
620,Theni,410623.0,189328.0,221295.0,66644,66168,3976,2877,46954,115074,133042,6570,161375
621,Virudhunagar,734724.0,363782.0,370942.0,98222,71592,6185,3339,53113,173972,169722,9552,227030
622,Ramanathapuram,417239.0,290478.0,126761.0,99925,31818,8715,2029,65358,89494,131848,10849,152710
623,Thoothukkudi,636739.0,336078.0,300661.0,112587,69754,6722,3909,94774,219784,181471,10188,318370
624,Tirunelveli,1064667.0,547962.0,516705.0,166033,129693,8768,5684,181924,325008,295978,14906,506782
625,Kanniyakumari,598041.0,104253.0,493788.0,37115,162951,2815,14814,86635,436509,199746,17344,523286
626,Dharmapuri,487926.0,396819.0,91107.0,131348,20955,9921,1458,42460,53754,153209,11223,92706
627,Krishnagiri,580540.0,437988.0,142552.0,143223,26088,9636,856,84094,111619,170679,10450,191579
628,Coimbatore,1169752.0,284795.0,884957.0,78034,213275,4557,7080,94837,689382,291269,11698,780225
629,Tiruppur,894908.0,356886.0,538022.0,98501,126974,6068,3767,110278,403517,226412,9844,511888
630,Yanam,15519.0,0.0,15519.0,,2390,,109,,12711,2390,109,12711
631,Mahe,12110.0,0.0,12110.0,,1914,,134,,11844,1914,134,11844
632,Karaikal,69333.0,35618.0,33715.0,13108,7081,748,405,16955,25084,20246,1110,42016
633,Nicobars,15958.0,15958.0,0.0,3799,,192,,12911,,3799,192,12911
634,South Andaman,85532.0,34901.0,50631.0,11692,10836,1222,608,22581,44455,22581,1882,66972
