,country,indicator,date,value
162,Austria,Daily hospital occupancy,10-09-2020,166.0
163,Austria,Daily hospital occupancy,11-09-2020,163.0
164,Austria,Daily hospital occupancy,12-09-2020,167.0
165,Austria,Daily hospital occupancy,13-09-2020,182.0
166,Austria,Daily hospital occupancy,14-09-2020,208.0
167,Austria,Daily hospital occupancy,15-09-2020,244.0
168,Austria,Daily hospital occupancy,16-09-2020,267.0
169,Austria,Daily hospital occupancy,17-09-2020,264.0
170,Austria,Daily hospital occupancy,18-09-2020,272.0
171,Austria,Daily hospital occupancy,19-09-2020,265.0
172,Austria,Daily hospital occupancy,20-09-2020,273.0
173,Austria,Daily hospital occupancy,21-09-2020,297.0
174,Austria,Daily hospital occupancy,22-09-2020,315.0
175,Austria,Daily hospital occupancy,23-09-2020,336.0
176,Austria,Daily hospital occupancy,24-09-2020,344.0
177,Austria,Daily hospital occupancy,25-09-2020,333.0
178,Austria,Daily hospital occupancy,26-09-2020,343.0
179,Austria,Daily hospital occupancy,27-09-2020,362.0
180,Austria,Daily hospital occupancy,28-09-2020,381.0
181,Austria,Daily hospital occupancy,29-09-2020,401.0
182,Austria,Daily hospital occupancy,30-09-2020,406.0
183,Austria,Daily hospital occupancy,01-10-2020,395.0
184,Austria,Daily hospital occupancy,02-10-2020,372.0
185,Austria,Daily hospital occupancy,03-10-2020,397.0
186,Austria,Daily hospital occupancy,04-10-2020,373.0
187,Austria,Daily hospital occupancy,05-10-2020,387.0
188,Austria,Daily hospital occupancy,06-10-2020,397.0
189,Austria,Daily hospital occupancy,07-10-2020,425.0
190,Austria,Daily hospital occupancy,08-10-2020,399.0
191,Austria,Daily hospital occupancy,09-10-2020,405.0
192,Austria,Daily hospital occupancy,10-10-2020,410.0
193,Austria,Daily hospital occupancy,11-10-2020,431.0
194,Austria,Daily hospital occupancy,12-10-2020,464.0
195,Austria,Daily hospital occupancy,13-10-2020,504.0
196,Austria,Daily hospital occupancy,14-10-2020,542.0
197,Austria,Daily hospital occupancy,15-10-2020,545.0
198,Austria,Daily hospital occupancy,16-10-2020,584.0
199,Austria,Daily hospital occupancy,17-10-2020,594.0
200,Austria,Daily hospital occupancy,18-10-2020,607.0
201,Austria,Daily hospital occupancy,19-10-2020,654.0
202,Austria,Daily hospital occupancy,20-10-2020,744.0
203,Austria,Daily hospital occupancy,21-10-2020,813.0
204,Austria,Daily hospital occupancy,22-10-2020,841.0
205,Austria,Daily hospital occupancy,23-10-2020,900.0
206,Austria,Daily hospital occupancy,24-10-2020,1002.0
207,Austria,Daily hospital occupancy,25-10-2020,1051.0
208,Austria,Daily hospital occupancy,26-10-2020,1142.0
209,Austria,Daily hospital occupancy,27-10-2020,1197.0
210,Austria,Daily hospital occupancy,28-10-2020,1345.0
211,Austria,Daily hospital occupancy,29-10-2020,1444.0
212,Austria,Daily hospital occupancy,30-10-2020,1540.0
213,Austria,Daily hospital occupancy,31-10-2020,1602.0
214,Austria,Daily hospital occupancy,01-11-2020,1657.0
215,Austria,Daily hospital occupancy,02-11-2020,1825.0
216,Austria,Daily hospital occupancy,03-11-2020,2065.0
217,Austria,Daily hospital occupancy,04-11-2020,2201.0
218,Austria,Daily hospital occupancy,05-11-2020,2330.0
219,Austria,Daily hospital occupancy,06-11-2020,2504.0
220,Austria,Daily hospital occupancy,07-11-2020,2574.0
221,Austria,Daily hospital occupancy,08-11-2020,2533.0
222,Austria,Daily hospital occupancy,09-11-2020,2755.0
223,Austria,Daily hospital occupancy,10-11-2020,3054.0
224,Austria,Daily hospital occupancy,11-11-2020,3183.0
225,Austria,Daily hospital occupancy,12-11-2020,3265.0
226,Austria,Daily hospital occupancy,13-11-2020,3355.0
227,Austria,Daily hospital occupancy,14-11-2020,3425.0
228,Austria,Daily hospital occupancy,15-11-2020,3579.0
229,Austria,Daily hospital occupancy,16-11-2020,3685.0
230,Austria,Daily hospital occupancy,17-11-2020,3867.0
231,Austria,Daily hospital occupancy,18-11-2020,3910.0
232,Austria,Daily hospital occupancy,19-11-2020,3931.0
233,Austria,Daily hospital occupancy,20-11-2020,3942.0
234,Austria,Daily hospital occupancy,21-11-2020,3900.0
235,Austria,Daily hospital occupancy,22-11-2020,3775.0
236,Austria,Daily hospital occupancy,23-11-2020,3863.0
237,Austria,Daily hospital occupancy,24-11-2020,3985.0
238,Austria,Daily hospital occupancy,25-11-2020,3867.0
239,Austria,Daily hospital occupancy,26-11-2020,3756.0
240,Austria,Daily hospital occupancy,27-11-2020,3702.0
241,Austria,Daily hospital occupancy,28-11-2020,3591.0
242,Austria,Daily hospital occupancy,29-11-2020,3560.0
243,Austria,Daily hospital occupancy,30-11-2020,3639.0
244,Austria,Daily hospital occupancy,01-12-2020,3791.0
245,Austria,Daily hospital occupancy,02-12-2020,3571.0
246,Austria,Daily hospital occupancy,03-12-2020,3414.0
247,Austria,Daily hospital occupancy,04-12-2020,3338.0
248,Austria,Daily hospital occupancy,05-12-2020,3231.0
249,Austria,Daily hospital occupancy,06-12-2020,3170.0
250,Austria,Daily hospital occupancy,07-12-2020,3269.0
251,Austria,Daily hospital occupancy,08-12-2020,3308.0
252,Austria,Daily hospital occupancy,09-12-2020,3244.0
253,Austria,Daily hospital occupancy,10-12-2020,3195.0
254,Austria,Daily hospital occupancy,11-12-2020,3079.0
255,Austria,Daily hospital occupancy,12-12-2020,3008.0
256,Austria,Daily hospital occupancy,13-12-2020,2867.0
257,Austria,Daily hospital occupancy,14-12-2020,2885.0
258,Austria,Daily hospital occupancy,15-12-2020,2951.0
259,Austria,Daily hospital occupancy,16-12-2020,2862.0
260,Austria,Daily hospital occupancy,17-12-2020,2690.0
261,Austria,Daily hospital occupancy,18-12-2020,2578.0
262,Austria,Daily hospital occupancy,19-12-2020,2475.0
263,Austria,Daily hospital occupancy,20-12-2020,2412.0
264,Austria,Daily hospital occupancy,21-12-2020,2393.0
265,Austria,Daily hospital occupancy,22-12-2020,2435.0
266,Austria,Daily hospital occupancy,23-12-2020,2303.0
267,Austria,Daily hospital occupancy,24-12-2020,2203.0
268,Austria,Daily hospital occupancy,25-12-2020,2045.0
269,Austria,Daily hospital occupancy,26-12-2020,2024.0
270,Austria,Daily hospital occupancy,27-12-2020,2043.0
271,Austria,Daily hospital occupancy,28-12-2020,2089.0
272,Austria,Daily hospital occupancy,29-12-2020,2116.0
273,Austria,Daily hospital occupancy,30-12-2020,2012.0
274,Austria,Daily hospital occupancy,31-12-2020,1946.0
275,Austria,Daily hospital occupancy,01-01-2021,1858.0
276,Austria,Daily hospital occupancy,02-01-2021,1858.0
277,Austria,Daily hospital occupancy,03-01-2021,1864.0
278,Austria,Daily hospital occupancy,04-01-2021,1953.0
279,Austria,Daily hospital occupancy,05-01-2021,2033.0
280,Austria,Daily hospital occupancy,06-01-2021,2022.0
281,Austria,Daily hospital occupancy,07-01-2021,1981.0
282,Austria,Daily hospital occupancy,08-01-2021,2000.0
283,Austria,Daily hospital occupancy,09-01-2021,1957.0
284,Austria,Daily hospital occupancy,10-01-2021,1874.0
285,Austria,Daily hospital occupancy,11-01-2021,1918.0
286,Austria,Daily hospital occupancy,12-01-2021,1923.0
287,Austria,Daily hospital occupancy,13-01-2021,1825.0
288,Austria,Daily hospital occupancy,14-01-2021,1725.0
289,Austria,Daily hospital occupancy,15-01-2021,1705.0
290,Austria,Daily hospital occupancy,16-01-2021,1668.0
291,Austria,Daily hospital occupancy,17-01-2021,1635.0
292,Austria,Daily hospital occupancy,18-01-2021,1673.0
293,Austria,Daily hospital occupancy,19-01-2021,1729.0
294,Austria,Daily hospital occupancy,20-01-2021,1683.0
295,Austria,Daily hospital occupancy,21-01-2021,1606.0
296,Austria,Daily hospital occupancy,22-01-2021,1586.0
297,Austria,Daily hospital occupancy,23-01-2021,1525.0
298,Austria,Daily hospital occupancy,24-01-2021,1518.0
299,Austria,Daily hospital occupancy,25-01-2021,1548.0
300,Austria,Daily hospital occupancy,26-01-2021,1583.0
301,Austria,Daily hospital occupancy,27-01-2021,1526.0
302,Austria,Daily hospital occupancy,28-01-2021,1478.0
303,Austria,Daily hospital occupancy,29-01-2021,1428.0
304,Austria,Daily hospital occupancy,30-01-2021,1385.0
305,Austria,Daily hospital occupancy,31-01-2021,1387.0
306,Austria,Daily hospital occupancy,01-02-2021,1433.0
307,Austria,Daily hospital occupancy,02-02-2021,1429.0
308,Austria,Daily hospital occupancy,03-02-2021,1383.0
309,Austria,Daily hospital occupancy,04-02-2021,1342.0
310,Austria,Daily hospital occupancy,05-02-2021,1304.0
311,Austria,Daily hospital occupancy,06-02-2021,1289.0
312,Austria,Daily hospital occupancy,07-02-2021,1275.0
313,Austria,Daily hospital occupancy,08-02-2021,1299.0
314,Austria,Daily hospital occupancy,09-02-2021,1318.0
315,Austria,Daily hospital occupancy,10-02-2021,1262.0
316,Austria,Daily hospital occupancy,11-02-2021,1212.0
317,Austria,Daily hospital occupancy,12-02-2021,1151.0
318,Austria,Daily hospital occupancy,13-02-2021,1062.0
319,Austria,Daily hospital occupancy,14-02-2021,1056.0
320,Austria,Daily hospital occupancy,15-02-2021,1104.0
321,Austria,Daily hospital occupancy,16-02-2021,1089.0
322,Austria,Daily hospital occupancy,17-02-2021,1069.0
323,Austria,Daily hospital occupancy,18-02-2021,1027.0
324,Austria,Daily hospital occupancy,19-02-2021,1030.0
325,Austria,Daily hospital occupancy,20-02-2021,999.0
326,Austria,Daily hospital occupancy,21-02-2021,1018.0
327,Austria,Daily hospital occupancy,22-02-2021,1085.0
328,Austria,Daily hospital occupancy,23-02-2021,1077.0
329,Austria,Daily hospital occupancy,24-02-2021,1064.0
330,Austria,Daily hospital occupancy,25-02-2021,1041.0
331,Austria,Daily hospital occupancy,26-02-2021,1018.0
332,Austria,Daily hospital occupancy,27-02-2021,988.0
333,Austria,Daily hospital occupancy,28-02-2021,1022.0
334,Austria,Daily hospital occupancy,01-03-2021,1073.0
335,Austria,Daily hospital occupancy,02-03-2021,1124.0
336,Austria,Daily hospital occupancy,03-03-2021,1097.0
337,Austria,Daily hospital occupancy,04-03-2021,1142.0
338,Austria,Daily hospital occupancy,05-03-2021,1114.0
339,Austria,Daily hospital occupancy,06-03-2021,1138.0
340,Austria,Daily hospital occupancy,07-03-2021,1155.0
341,Austria,Daily hospital occupancy,08-03-2021,1226.0
342,Austria,Daily hospital occupancy,09-03-2021,1287.0
343,Austria,Daily hospital occupancy,10-03-2021,1273.0
344,Austria,Daily hospital occupancy,11-03-2021,1242.0
345,Austria,Daily hospital occupancy,12-03-2021,1269.0
346,Austria,Daily hospital occupancy,13-03-2021,1285.0
347,Austria,Daily hospital occupancy,14-03-2021,1322.0
348,Austria,Daily hospital occupancy,15-03-2021,1406.0
349,Austria,Daily hospital occupancy,16-03-2021,1438.0
350,Austria,Daily hospital occupancy,17-03-2021,1449.0
351,Austria,Daily hospital occupancy,18-03-2021,1451.0
352,Austria,Daily hospital occupancy,19-03-2021,1462.0
353,Austria,Daily hospital occupancy,20-03-2021,1438.0
354,Austria,Daily hospital occupancy,21-03-2021,1495.0
355,Austria,Daily hospital occupancy,22-03-2021,1573.0
356,Austria,Daily hospital occupancy,23-03-2021,1614.0
357,Austria,Daily hospital occupancy,24-03-2021,1635.0
358,Austria,Daily hospital occupancy,25-03-2021,1641.0
359,Austria,Daily hospital occupancy,26-03-2021,1693.0
360,Austria,Daily hospital occupancy,27-03-2021,1651.0
361,Austria,Daily hospital occupancy,28-03-2021,1636.0
362,Austria,Daily hospital occupancy,29-03-2021,1710.0
363,Austria,Daily hospital occupancy,30-03-2021,1770.0
364,Austria,Daily hospital occupancy,31-03-2021,1787.0
365,Austria,Daily hospital occupancy,01-04-2021,1765.0
366,Austria,Daily hospital occupancy,02-04-2021,1753.0
367,Austria,Daily hospital occupancy,03-04-2021,1655.0
368,Austria,Daily hospital occupancy,04-04-2021,1671.0
369,Austria,Daily hospital occupancy,05-04-2021,1771.0
370,Austria,Daily hospital occupancy,06-04-2021,1854.0
371,Austria,Daily hospital occupancy,07-04-2021,1877.0
372,Austria,Daily hospital occupancy,08-04-2021,1807.0
373,Austria,Daily hospital occupancy,09-04-2021,1802.0
374,Austria,Daily hospital occupancy,10-04-2021,1734.0
375,Austria,Daily hospital occupancy,11-04-2021,1705.0
376,Austria,Daily hospital occupancy,12-04-2021,1799.0
377,Austria,Daily hospital occupancy,13-04-2021,1752.0
378,Austria,Daily hospital occupancy,14-04-2021,1687.0
379,Austria,Daily hospital occupancy,15-04-2021,1586.0
380,Austria,Daily hospital occupancy,16-04-2021,1550.0
381,Austria,Daily hospital occupancy,17-04-2021,1507.0
382,Austria,Daily hospital occupancy,18-04-2021,1475.0
383,Austria,Daily hospital occupancy,19-04-2021,1554.0
384,Austria,Daily hospital occupancy,20-04-2021,1531.0
385,Austria,Daily hospital occupancy,21-04-2021,1417.0
386,Austria,Daily hospital occupancy,22-04-2021,1403.0
387,Austria,Daily hospital occupancy,23-04-2021,1356.0
388,Austria,Daily hospital occupancy,24-04-2021,1309.0
389,Austria,Daily hospital occupancy,25-04-2021,1279.0
390,Austria,Daily hospital occupancy,26-04-2021,1333.0
391,Austria,Daily hospital occupancy,27-04-2021,1392.0
392,Austria,Daily hospital occupancy,28-04-2021,1270.0
393,Austria,Daily hospital occupancy,29-04-2021,1233.0
394,Austria,Daily hospital occupancy,30-04-2021,1154.0
395,Austria,Daily hospital occupancy,01-05-2021,1081.0
396,Austria,Daily hospital occupancy,02-05-2021,1087.0
397,Austria,Daily hospital occupancy,03-05-2021,1139.0
398,Austria,Daily hospital occupancy,04-05-2021,1155.0
399,Austria,Daily hospital occupancy,05-05-2021,1107.0
400,Austria,Daily hospital occupancy,06-05-2021,1017.0
401,Austria,Daily hospital occupancy,07-05-2021,959.0
402,Austria,Daily hospital occupancy,08-05-2021,886.0
403,Austria,Daily hospital occupancy,09-05-2021,865.0
404,Austria,Daily hospital occupancy,10-05-2021,863.0
405,Austria,Daily hospital occupancy,11-05-2021,857.0
406,Austria,Daily hospital occupancy,12-05-2021,797.0
407,Austria,Daily hospital occupancy,13-05-2021,695.0
408,Austria,Daily hospital occupancy,14-05-2021,686.0
409,Austria,Daily hospital occupancy,15-05-2021,628.0
410,Austria,Daily hospital occupancy,16-05-2021,612.0
411,Austria,Daily hospital occupancy,17-05-2021,624.0
412,Austria,Daily hospital occupancy,18-05-2021,600.0
413,Austria,Daily hospital occupancy,19-05-2021,563.0
414,Austria,Daily hospital occupancy,20-05-2021,518.0
415,Austria,Daily hospital occupancy,21-05-2021,463.0
416,Austria,Daily hospital occupancy,22-05-2021,406.0
