District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,State_UT
Ambedkar Nagar,501559,232724,49655,69717,65031,27314,6374,35377,Uttar Pradesh
Sultanpur,839737,418190,72218,110006,49891,14818,2196,36371,Uttar Pradesh
Bahraich,698520,430987,60073,73345,61742,25932,3520,49085,Uttar Pradesh
Shrawasti,248770,139809,16917,25873,8504,3189,851,5358,Uttar Pradesh
Balrampur,410070,232510,27475,41828,35768,14487,1467,25718,Uttar Pradesh
Gonda,673578,344199,76115,53213,52794,17159,2323,40705,Uttar Pradesh
Siddharthnagar,480165,215114,31691,49938,33348,11806,1735,15641,Uttar Pradesh
Basti,513960,207126,51396,67329,31065,11091,2113,22398,Uttar Pradesh
Sant Kabir Nagar,324972,141038,33148,39972,27179,10301,1740,13508,Uttar Pradesh
Mahrajganj,573046,294546,50429,95699,34033,13375,1974,19876,Uttar Pradesh
Gorakhpur,761958,356597,67815,141725,189170,59778,7000,152093,Uttar Pradesh
Kushinagar,742324,414960,63098,109864,42775,16554,4021,26649,Uttar Pradesh
Deoria,597778,277967,50812,99829,67928,22824,4484,42388,Uttar Pradesh
Azamgarh,891024,430365,80193,149693,80434,30083,3861,51961,Uttar Pradesh
Mau,352207,166242,35573,61989,99321,43801,6754,63069,Uttar Pradesh
Ballia,564927,269471,72311,125414,64454,23268,5995,39317,Uttar Pradesh
Jaunpur,926088,426927,66679,142618,80582,35859,3546,57858,Uttar Pradesh
Ghazipur,700173,358489,72818,130233,61467,23604,4488,40261,Uttar Pradesh
Chandauli,344937,169020,23456,64849,50822,18703,2338,35169,Uttar Pradesh
Varanasi,438935,208934,29409,118952,316129,113175,11065,281355,Uttar Pradesh
Sant Ravidas Nagar (Bhadohi),293510,140005,18198,36983,45997,20239,2622,25575,Uttar Pradesh
Mirzapur,465152,240019,22328,89310,77963,31731,2729,53405,Uttar Pradesh
Sonbhadra,337048,188073,6067,46176,91040,31318,4279,64366,Uttar Pradesh
Etah,334246,189184,23398,30751,67752,29405,2101,53050,Uttar Pradesh
Kanshiram Nagar,271234,166809,24140,30379,72490,36318,3190,55745,Uttar Pradesh
Pashchim Champaran,839514,531413,41137,96545,96620,50146,7150,52079,Bihar
Purba Champaran,1142260,639666,63967,177051,101565,43572,5790,54846,Bihar
Sheohar,158484,94457,5389,31380,7516,3383,602,2774,Bihar
Sitamarhi,807294,473882,50053,150964,49670,20763,3229,30051,Bihar
Madhubani,1047552,532157,49235,181227,41234,17607,2928,22885,Bihar
Supaul,572287,355391,28043,52079,27815,14409,2170,13018,Bihar
Araria,659061,424436,24386,44158,44213,21444,2830,24008,Bihar
Kishanganj,401793,249916,14063,24912,43357,20118,3426,22503,Bihar
Purnia,712847,464064,36356,61305,85749,39531,8318,50678,Bihar
Katihar,668232,414304,33412,84866,69838,29542,4959,47840,Bihar
Madhepura,486278,311218,30150,54950,24000,11016,2088,12312,Bihar
Saharsa,432651,278195,28555,54082,38046,16398,2816,25720,Bihar
Darbhanga,907174,478988,73482,189600,95539,38216,8599,64012,Bihar
Muzaffarpur,998694,603212,83891,218714,120700,43694,8208,93060,Bihar
Gopalganj,515925,273957,41274,93383,38133,15101,2327,19372,Bihar
Siwan,632514,294752,51867,127768,41858,14400,2554,29887,Bihar
Saran,701323,360481,61016,124836,76299,31665,6028,45017,Bihar
Vaishali,699317,397912,86016,174830,51494,22967,5459,31927,Bihar
Samastipur,1012979,599684,98259,172207,43486,16786,2827,30528,Bihar
Begusarai,594377,339390,68948,151567,139248,60573,13647,80347,Bihar
Khagaria,373696,219734,33259,81093,21007,9937,1513,13928,Bihar
Bhagalpur,522527,307246,45983,131155,130634,55912,10059,93665,Bihar
Banka,425604,257491,28942,47243,18492,8673,944,8285,Bihar
Munger,222281,130257,17561,58016,85782,33627,5748,63651,Bihar
Lakhisarai,175882,103595,13543,47137,31763,16613,2669,19567,Bihar
Sheikhpura,108293,64976,10180,26316,24345,10883,1802,12709,Bihar
Nalanda,514141,306429,48844,117225,102522,42855,7280,75457,Bihar
Patna,657991,384267,59878,181606,552103,171152,28710,477570,Bihar
Bhojpur,434559,251176,37807,89085,77368,31799,6345,53075,Bihar
Buxar,299252,169976,31422,59851,35405,14021,3116,23793,Bihar
Kaimur (Bhabua),325143,196062,21135,47146,15299,5126,704,10740,Bihar
Rohtas,512383,295645,32793,108113,95678,39994,5646,65444,Bihar
Aurangabad,428291,247553,28268,73667,49006,20142,2647,33325,Bihar
Gaya,696289,437270,55007,114888,111282,40062,5231,86578,Bihar
Nawada,379551,236461,39094,65663,45323,17994,2901,31409,Bihar
Jamui,325909,209234,26073,38784,30851,15087,2623,15087,Bihar
Jehanabad,186660,114236,16987,41626,28132,11028,1942,19046,Bihar
Arwal,134334,83153,10479,30226,9960,5150,608,3885,Bihar
North  District,11543,5229,428,8658,2066,420,38,2011,Sikkim
West District,32091,16559,2536,26989,1886,291,125,1685,Sikkim
South District,31135,14105,1837,26434,8163,1249,74,7992,Sikkim
East District,40626,16901,3047,34858,41512,7639,706,39395,Sikkim
