,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
151,Kheri,754938.0,483161,83799,138154,107672.0,49314,9583,82047
152,Sitapur,827583.0,512274,100138,98483,111319.0,47200,9463,80150
153,Hardoi,786613.0,490060,65289,136871,121064.0,56174,7991,89588
154,Unnao,596317.0,351828,43532,94219,121039.0,53500,6173,86785
155,Lucknow,344155.0,196857,28565,73994,717566.0,223164,29421,629306
156,Rae Bareli,705025.0,390584,54992,94474,73393.0,25028,3817,52183
157,Farrukhabad,316647.0,188722,27232,75679,94843.0,43344,4458,77487
158,Kannauj,299785.0,174775,26382,65054,65985.0,28572,3894,49885
159,Etawah,265643.0,145307,20721,52598,85483.0,34621,3591,71293
160,Auraiya,255836.0,141222,23026,52191,58438.0,22558,2338,43946
161,Kanpur Dehat,363933.0,206714,30571,83705,41323.0,16323,2439,27398
162,Kanpur Nagar,364869.0,214543,25176,86110,684906.0,265059,32876,583540
163,Jalaun,304856.0,174683,8841,86275,91565.0,37634,3205,69224
164,Jhansi,309592.0,146747,6192,64086,195321.0,64261,3712,139850
165,Lalitpur,258013.0,136231,6967,30962,43819.0,15863,1140,27563
166,Hamirpur,256081.0,129321,3842,64021,55300.0,20517,885,37992
167,Mahoba,198298.0,100538,3372,35298,48525.0,23632,777,26544
168,Banda,378056.0,199992,4159,75612,67569.0,23785,1149,49664
169,Chitrakoot,207237.0,108800,3731,24454,23558.0,11002,637,13829
170,Fatehpur,558807.0,320756,31852,102262,77733.0,31793,3343,56046
171,Pratapgarh,711085.0,317855,44799,80353,41701.0,13220,1252,26731
172,Kaushambi,349856.0,193121,15394,48281,30764.0,13198,1354,15813
173,Allahabad,983266.0,479834,45231,153390,265304.0,80918,7694,222856
174,Bara Banki,635840.0,323643,75665,83931,79068.0,31232,6958,53609
175,Faizabad,510378.0,262335,47466,74005,79288.0,28623,3886,60418
176,Ambedkar Nagar,501559.0,232724,49655,69717,65031.0,27314,6374,35377
177,Sultanpur,839737.0,418190,72218,110006,49891.0,14818,2196,36371
178,Bahraich,698520.0,430987,60073,73345,61742.0,25932,3520,49085
179,Shrawasti,248770.0,139809,16917,25873,8504.0,3189,851,5358
180,Balrampur,410070.0,232510,27475,41828,35768.0,14487,1467,25718
181,Gonda,673578.0,344199,76115,53213,52794.0,17159,2323,40705
182,Siddharthnagar,480165.0,215114,31691,49938,33348.0,11806,1735,15641
183,Basti,513960.0,207126,51396,67329,31065.0,11091,2113,22398
184,Sant Kabir Nagar,324972.0,141038,33148,39972,27179.0,10301,1740,13508
185,Mahrajganj,573046.0,294546,50429,95699,34033.0,13375,1974,19876
186,Gorakhpur,761958.0,356597,67815,141725,189170.0,59778,7000,152093
187,Kushinagar,742324.0,414960,63098,109864,42775.0,16554,4021,26649
188,Deoria,597778.0,277967,50812,99829,67928.0,22824,4484,42388
189,Azamgarh,891024.0,430365,80193,149693,80434.0,30083,3861,51961
190,Mau,352207.0,166242,35573,61989,99321.0,43801,6754,63069
191,Ballia,564927.0,269471,72311,125414,64454.0,23268,5995,39317
192,Jaunpur,926088.0,426927,66679,142618,80582.0,35859,3546,57858
193,Ghazipur,700173.0,358489,72818,130233,61467.0,23604,4488,40261
194,Chandauli,344937.0,169020,23456,64849,50822.0,18703,2338,35169
195,Varanasi,438935.0,208934,29409,118952,316129.0,113175,11065,281355
196,Sant Ravidas Nagar (Bhadohi),293510.0,140005,18198,36983,45997.0,20239,2622,25575
197,Mirzapur,465152.0,240019,22328,89310,77963.0,31731,2729,53405
198,Sonbhadra,337048.0,188073,6067,46176,91040.0,31318,4279,64366
199,Etah,334246.0,189184,23398,30751,67752.0,29405,2101,53050
200,Kanshiram Nagar,271234.0,166809,24140,30379,72490.0,36318,3190,55745
201,Pashchim Champaran,839514.0,531413,41137,96545,96620.0,50146,7150,52079
202,Purba Champaran,1142260.0,639666,63967,177051,101565.0,43572,5790,54846
203,Sheohar,158484.0,94457,5389,31380,7516.0,3383,602,2774
204,Sitamarhi,807294.0,473882,50053,150964,49670.0,20763,3229,30051
205,Madhubani,1047552.0,532157,49235,181227,41234.0,17607,2928,22885
206,Supaul,572287.0,355391,28043,52079,27815.0,14409,2170,13018
207,Araria,659061.0,424436,24386,44158,44213.0,21444,2830,24008
208,Kishanganj,401793.0,249916,14063,24912,43357.0,20118,3426,22503
209,Purnia,712847.0,464064,36356,61305,85749.0,39531,8318,50678
210,Katihar,668232.0,414304,33412,84866,69838.0,29542,4959,47840
211,Madhepura,486278.0,311218,30150,54950,24000.0,11016,2088,12312
212,Saharsa,432651.0,278195,28555,54082,38046.0,16398,2816,25720
213,Darbhanga,907174.0,478988,73482,189600,95539.0,38216,8599,64012
214,Muzaffarpur,998694.0,603212,83891,218714,120700.0,43694,8208,93060
215,Gopalganj,515925.0,273957,41274,93383,38133.0,15101,2327,19372
216,Siwan,632514.0,294752,51867,127768,41858.0,14400,2554,29887
217,Saran,701323.0,360481,61016,124836,76299.0,31665,6028,45017
218,Vaishali,699317.0,397912,86016,174830,51494.0,22967,5459,31927
219,Samastipur,1012979.0,599684,98259,172207,43486.0,16786,2827,30528
220,Begusarai,594377.0,339390,68948,151567,139248.0,60573,13647,80347
221,Khagaria,373696.0,219734,33259,81093,21007.0,9937,1513,13928
222,Bhagalpur,522527.0,307246,45983,131155,130634.0,55912,10059,93665
223,Banka,425604.0,257491,28942,47243,18492.0,8673,944,8285
224,Munger,222281.0,130257,17561,58016,85782.0,33627,5748,63651
225,Lakhisarai,175882.0,103595,13543,47137,31763.0,16613,2669,19567
226,Sheikhpura,108293.0,64976,10180,26316,24345.0,10883,1802,12709
227,Nalanda,514141.0,306429,48844,117225,102522.0,42855,7280,75457
228,Patna,657991.0,384267,59878,181606,552103.0,171152,28710,477570
229,Bhojpur,434559.0,251176,37807,89085,77368.0,31799,6345,53075
230,Buxar,299252.0,169976,31422,59851,35405.0,14021,3116,23793
231,Kaimur (Bhabua),325143.0,196062,21135,47146,15299.0,5126,704,10740
232,Rohtas,512383.0,295645,32793,108113,95678.0,39994,5646,65444
233,Aurangabad,428291.0,247553,28268,73667,49006.0,20142,2647,33325
234,Gaya,696289.0,437270,55007,114888,111282.0,40062,5231,86578
235,Nawada,379551.0,236461,39094,65663,45323.0,17994,2901,31409
236,Jamui,325909.0,209234,26073,38784,30851.0,15087,2623,15087
237,Jehanabad,186660.0,114236,16987,41626,28132.0,11028,1942,19046
238,Arwal,134334.0,83153,10479,30226,9960.0,5150,608,3885
239,North  District,11543.0,5229,428,8658,2066.0,420,38,2011
240,West District,32091.0,16559,2536,26989,1886.0,291,125,1685
241,South District,31135.0,14105,1837,26434,8163.0,1249,74,7992
242,East District,40626.0,16901,3047,34858,41512.0,7639,706,39395
243,Tawang,10730.0,5033,440,7447,2452.0,613,15,2391
244,West Kameng,17889.0,8641,448,6959,0.0,0,0,0
